name_unqual,cnt
_∈_,11
_∉_,10
_≤_,9
_<_,9
_≈_,8
_≮_,6
_≰_,6
Env,6
_>_,6
_⊉_,6
_≥_,6
_≯_,5
Symmetric,5
_⊆_,5
Congruent,5
_≱_,5
Endo,4
_⊈_,4
Associative,4
_⊇_,4
_∣_,3
ν,3
□,3
◇,3
_⇒_,3
μ,3
_∤_,3
_∦_,3
_≋_,3
_⊂_,3
_⊃_,3
_⊄_,3
Bounded,3
Commutative,3
Contracting,3
ContractingOnOrbits,3
Coprime,3
Decidable,3
DistanceFunction,3
Empty,3
Irrelevant,3
LeftCongruent,3
LeftZero,3
NonNegative,3
NonZero,3
RightCongruent,3
RightZero,3
Stable,3
StrictlyContracting,3
StrictlyContractingOnOrbits,3
TranslationInvariant,3
TriangleInequality,3
WeaklyDecidable,3
Extensionality,2
Homomorphic₂,2
Identity,2
Indiscernable,2
InducedRelation₁,2
InducedRelation₂,2
Interleaving,2
IRel,2
IREL,2
Universal,2
Word,2
LeftIdentity,2
U,2
MaxTriangleInequality,2
Morphism,2
Negative,2
∅,2
NonPositive,2
_=[_]⇒_,2
_⊅_,2
_DistributesOverˡ_,2
_DistributesOverʳ_,2
_∉ᴿ_,2
×-Lex,2
∀[_],2
All,2
_≄_,2
Telescope,2
Positive,2
_⇔_,2
Recomputable,2
Reflexive,2
Related,2
trans,2
Definite,2
RightIdentity,2
Transitive,2
_↭_,2
⊥,2
