name_unqual,cnt
trans,408
refl,391
reflexive,378
sym,339
isEquivalence,309
isPartialEquivalence,271
setoid,217
_≈_,204
isRelHomomorphism,191
Carrier,190
⟦⟧-cong,179
injective,133
_≉_,132
map,112
isRelMonomorphism,100
isPreorder,87
isMagma,84
rawSetoid,82
isPartialOrder,70
surjective,69
∙-congʳ,68
∙-congˡ,68
antisym,68
_≟_,65
partialSetoid,64
∙-cong,64
cong,62
[],61
_∷_,61
tail,60
isMagmaHomomorphism,58
homo,57
≤-respʳ-≈,57
≤-respˡ-≈,57
≤-resp-≈,57
head,56
zero,55
≲-respʳ-≈,54
≲-resp-≈,54
≲-respˡ-≈,54
isRelIsomorphism,51
zipWith,51
isSemigroup,49
identityʳ,49
+ᴹ-homo,48
+ᴹ-isMonoidHomomorphism,48
+ᴹ-isMagmaHomomorphism,48
0ᴹ-homo,48
*-isSemigroup,47
*-isMagma,47
identityˡ,47
⟦_⟧,47
identity,47
_∎,47
assoc,46
begin_,46
+-identityʳ,46
*-assoc,46
+-identity,46
+-identityˡ,46
+-assoc,46
+-homo,45
lookup,45
*-homo,45
distrib,45
distribʳ,45
zip,43
zeroˡ,43
isNearSemiringHomomorphism,43
var,43
step-≡-⟩,43
_∙_,43
step-≡-∣,43
step-≡-⟨,43
+-isMagmaHomomorphism,42
step-≡˘,42
*-cong,42
+-isSemigroup,42
+-isMagma,42
0#-homo,42
zeroʳ,42
+-isMonoidHomomorphism,42
step-≡,42
*-identity,41
[_],41
+-cong,41
distribˡ,41
*-isMagmaHomomorphism,41
+-isMonoid,41
+-congʳ,40
≡-go,40
*-identityˡ,40
*-congˡ,40
*-congʳ,40
*-identityʳ,40
map⁺,40
+-congˡ,40
+-comm,40
_+_,39
_IsRelatedTo_,39
ε-homo,38
+-isCommutativeMonoid,38
empty,38
stop,38
_*_,37
+-isCommutativeSemigroup,37
con,37
comm,37
start,37
correct,37
functor,37
isRightSemimoduleHomomorphism,36
rawMagma,36
applicative,36
*ᵣ-homo,36
*ₗ-homo,36
isLeftSemimoduleHomomorphism,36
monad,35
preorder,35
magma,35
+-isUnitalMagma,35
_≤_,35
0#,34
*-isMonoid,34
∅,33
isNearSemiring,33
poset,33
+-isCommutativeMagma,33
+ᴹ-isMonoidMonomorphism,32
idem,32
+ᴹ-isMagmaMonomorphism,32
++⁺,31
isBand,31
"_,_",31
isMagmaMonomorphism,31
isDecEquivalence,31
pure,30
_<$>_,30
≈-isEquivalence,29
nonNegative,29
toList,29
isSemiringWithoutOne,29
⁻¹-homo,28
*-rawMagma,28
_<$_,28
isMonoidHomomorphism,28
∙-homo,28
id,28
isSemiringWithoutAnnihilatingZero,27
step-≈-⟩,27
step-≈-⟨,27
≈-go,27
join,27
_⊛_,27
_⊗_,27
+ᴹ-identityˡ,26
ε,26
_>>=_,26
+-rawMagma,26
begin-equality_,26
+ᴹ-assoc,26
+ᴹ-cong,26
+ᴹ-identityʳ,26
+ᴹ-isSemigroup,26
+ᴹ-comm,26
+ᴹ-isCommutativeMonoid,26
+ᴹ-isMonoid,26
+ᴹ-identity,26
+ᴹ-isMagma,26
IsEquality?,25
isEquality,25
IsEquality,25
*-comm,25
equals,25
extractEquality,25
foldr,25
_<&>_,25
ignore,25
isProtoMetric,25
isBisemimoduleHomomorphism,24
*-semigroup,24
isSemiring,24
_<⊛_,24
step-≈,24
step-≈˘,24
1#,24
nonstrict,24
isRightSemimoduleMonomorphism,24
_-_,24
+ᴹ-isGroupHomomorphism,24
isLeftSemimoduleMonomorphism,24
-ᴹ-homo,24
_⊛>_,24
isSemiringHomomorphism,23
semigroup,23
inverseˡ,23
*-magma,23
normalise,23
rawFunctor,23
solve,23
_∈_,23
_∣_,22
+-semigroup,22
fromList,22
≈⇒0,22
poly,22
1#-homo,22
isMonoid,22
return,22
*ₗ-zeroʳ,21
*ᵣ-distribˡ,21
isUnitalMagma,21
*ₗ-distribʳ,21
*ₗ-identityˡ,21
*-isCommutativeSemigroup,21
map⁻,21
sub,21
*ₗ-assoc,21
*ₗ-zeroˡ,21
filter⁺,21
Normal,21
Carrierᴹ,21
*-isMonoidHomomorphism,21
*ᵣ-zeroˡ,21
*ᵣ-distribʳ,21
inverseʳ,21
_≈ᴹ_,21
*ᵣ-assoc,21
*ₗ-cong,21
*ᵣ-zeroʳ,21
_++_,21
insert,21
*ᵣ-identityʳ,21
isPreMetric,21
*ₗ-distribˡ,21
*ᵣ-cong,21
to,21
+-rawMonoid,20
isCongruent,20
_+ᴹ_,20
prove,20
+ᴹ-rawMonoid,20
+-magma,20
*-isMagmaMonomorphism,20
0ᴹ,20
isRightSemimodule,20
+-isGroupHomomorphism,20
equivalence,20
_*x+_,20
_≉ᴹ_,20
singleton,20
quotient,20
+ᴹ-rawMagma,20
inverse,20
isLeftSemimodule,20
concat⁺,19
Env,19
-‿cong,19
*-isCommutativeMonoid,19
decSetoid,19
_<_,19
_/_,18
value,18
≈ᴹ-reflexive,18
≈ᴹ-isEquivalence,18
≈ᴹ-isPartialEquivalence,18
≈ᴹ-sym,18
≈ᴹ-setoid,18
≈ᴹ-trans,18
isLeftModuleHomomorphism,18
isCommutativeSemiring,18
0⇒≈,18
irrelevant,18
+ᴹ-congˡ,18
≈ᴹ-refl,18
isLattice,18
isRightModuleHomomorphism,18
isCommutativeSemiringWithoutOne,18
rawRightSemimodule,18
alternative,18
isRingWithoutOneHomomorphism,18
total,18
+ᴹ-congʳ,18
_∉_,17
isMeetSemilattice,17
show,17
-_,17
weaken,17
mapM,17
transitive,17
isQuasiSemiMetric,17
map-id,17
_^_,17
tabulate⁺,17
*-isCommutativeMagma,17
d,17
forM,17
isJoinSemilattice,17
∧-cong,16
+-isMonoidMonomorphism,16
<-isStrictPartialOrder,16
uncons,16
